Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2007,110671,University of California-Riverside,1,Main Campus,17187,3,37,11
2007,110680,University of California-San Diego,1,Main Campus,27020,6,144,1587
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,3,141,1211
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,2,860,1943
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,113,609
2008,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35396,0,0,1
2008,110644,University of California-Davis,1,Main Campus,30568,1,35,219
2008,110644,University of California-Davis,2,UC Davis Medical Center,30568,0,0,0
2008,110398,University of California-Hastings College of Law,1,Main Campus,1306,0,0,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,47,519
2008,110653,University of California-Irvine,2,UCI Medical Center,26984,0,0,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,2,103,379
2008,445188,University of California-Merced,1,Main Campus,2718,0,2,56
2008,110671,University of California-Riverside,1,Main Campus,18079,9,55,8
2008,110680,University of California-San Diego,1,Main Campus,27520,0,0,3
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,5,498,1128
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,15,1068,2182
2009,110635,University of California-Berkeley,1,Main Campus,35830,2,145,503
2009,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35830,0,2,0
2009,110644,University of California-Davis,1,Main Campus,31247,0,68,192
2009,110644,University of California-Davis,2,UC Davis Medical Center,31247,0,0,0
2009,110398,University of California-Hastings College of Law,1,Main Campus,1347,0,0,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,0,33,435
2009,110653,University of California-Irvine,2,UCI Medical Center,27142,0,0,0
2009,110662,University of California-Los Angeles,1,UCLA,38550,1,127,601
2009,445188,University of California-Merced,1,Main Campus,3414,0,14,101
2009,110671,University of California-Riverside,1,Main Campus,19384,1,131,21
2009,110680,University of California-San Diego,1,Main Campus,28418,0,17,5
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,1,354,1006
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,18,949,1794
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,125,610
2010,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35833,0,0,1
2010,110644,University of California-Davis,1,Main Campus,31392,0,87,202
2010,110644,University of California-Davis,2,UC Davis Medical Center,31392,0,0,0
2010,110398,University of California-Hastings College of Law,1,Main Campus,1304,0,0,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,2,14,414
2010,110653,University of California-Irvine,2,UCI Medical Center,26994,0,0,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,4,122,681
2010,445188,University of California-Merced,1,Main Campus,4381,1,16,67
2010,110671,University of California-Riverside,1,Main Campus,20692,0,146,20
2010,110680,University of California-San Diego,1,Main Campus,29176,0,94,1050
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,0,0,0
