Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2006,110398,University of California-Hastings College of Law,1,Main Campus,1272,0,0,0,,,0,,,0,0,0,0,0
2006,110653,University of California-Irvine,1,UCI Main Campus,25230,0,0,2,,,0,,,0,0,25,0,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,0,4,,,0,,,0,0,21,0,0
2006,445188,University of California-Merced,1,Main Campus,1286,0,0,0,,,0,,,0,0,1,0,0
2006,110671,University of California-Riverside,1,Main Campus,16875,0,0,6,,,0,,,3,4,11,2,3
2006,110680,University of California-San Diego,1,Main Campus,26247,0,0,0,,,0,,,1,0,28,0,1
2006,110699,University of California-San Francisco,1,Main Campus - Parnassus,2943,0,0,0,,,0,,,0,0,0,0,0
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,0,0,6,,,0,,,0,1,22,2,1
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,0,0,4,,,0,,,0,0,28,0,2
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,1,,,0,,,2,0,19,0,3
2007,110635,University of California-Berkeley,3,University of California Washington Academic Cente,34940,0,0,0,,,0,,,0,0,0,0,0
2007,110644,University of California-Davis,1,Main Campus,29796,0,0,23,,,0,,,2,2,22,0,1
2007,110398,University of California-Hastings College of Law,1,Main Campus,1262,0,0,0,,,0,,,0,0,0,0,0
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,0,0,3,,,0,,,1,0,34,0,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,5,,,0,,,0,0,43,0,0
2007,445188,University of California-Merced,1,Main Campus,1871,0,0,0,,,0,,,0,0,1,0,0
2007,110671,University of California-Riverside,1,Main Campus,17187,0,0,4,,,0,,,1,1,28,0,7
2007,110680,University of California-San Diego,1,Main Campus,27020,0,0,1,,,0,,,1,1,29,0,1
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,0,,,0,,,0,0,1,0,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,0,0,8,,,0,,,0,4,16,0,0
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,0,1,,,0,,,0,1,16,0,2
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,7,,,0,,,2,1,12,0,1
2008,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35396,0,0,0,,,0,,,0,0,0,0,0
2008,110644,University of California-Davis,1,Main Campus,30568,0,0,9,,,0,,,0,4,20,0,1
2008,110398,University of California-Hastings College of Law,1,Main Campus,1306,0,0,0,,,0,,,0,0,1,0,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,0,3,,,0,,,2,0,26,0,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,18,,,0,,,1,0,23,2,0
2008,445188,University of California-Merced,1,Main Campus,2718,0,0,1,,,0,,,0,0,5,0,0
2008,110671,University of California-Riverside,1,Main Campus,18079,0,0,4,,,0,,,0,6,27,0,1
2008,110680,University of California-San Diego,1,Main Campus,27520,0,0,3,,,0,,,0,0,24,0,1
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,0,,,0,,,0,0,0,0,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,0,0,4,,,0,,,1,1,16,0,1
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,4,,,0,,,0,0,38,0,1
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,1,,,0,,,1,1,7,0,0
2009,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35830,0,0,0,,,0,,,0,0,0,0,0
2009,110644,University of California-Davis,1,Main Campus,31247,0,0,10,,,1,,,1,3,18,0,0
2009,110398,University of California-Hastings College of Law,1,Main Campus,1347,0,0,0,,,0,,,0,0,0,0,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,0,0,1,,,0,,,0,0,7,0,0
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,2,,,0,,,1,4,28,0,0
2009,445188,University of California-Merced,1,Main Campus,3414,0,0,2,,,0,,,0,0,2,0,0
2009,110671,University of California-Riverside,1,Main Campus,19384,0,0,4,,,0,,,0,3,10,0,0
2009,110680,University of California-San Diego,1,Main Campus,28418,0,0,4,,,0,,,0,0,12,0,0
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,0,,,0,,,0,0,0,0,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,0,0,0,,,0,,,0,0,13,0,0
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,0,3,,,0,,,0,0,25,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,3,,,0,,,3,0,5,2,2
2010,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35833,0,0,0,,,0,,,0,0,0,0,0
