Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,0,3,6
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,0,0,0
2007,110635,University of California-Berkeley,1,Main Campus,34940,1,1,1
2007,110644,University of California-Davis,1,Main Campus,29796,2,10,0
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,1,11,1
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,4,0
2007,445188,University of California-Merced,1,Main Campus,1871,0,0,1
2007,110671,University of California-Riverside,1,Main Campus,17187,0,0,0
2007,110680,University of California-San Diego,1,Main Campus,27020,0,0,5
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,7,5,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,0,1,13
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,0,1
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,1,1
2008,110644,University of California-Davis,1,Main Campus,30568,0,4,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,2,19,3
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,4,1
2008,445188,University of California-Merced,1,Main Campus,2718,0,0,0
2008,110671,University of California-Riverside,1,Main Campus,18079,0,1,0
2008,110680,University of California-San Diego,1,Main Campus,27520,1,14,4
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,1,0,1
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,0,4,24
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,0
2009,110635,University of California-Berkeley,1,Main Campus,35830,1,0,1
2009,110644,University of California-Davis,1,Main Campus,31247,0,1,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,1,35,4
2009,110662,University of California-Los Angeles,1,UCLA,38550,1,4,21
2009,445188,University of California-Merced,1,Main Campus,3414,0,0,0
2009,110671,University of California-Riverside,1,Main Campus,19384,0,0,3
2009,110680,University of California-San Diego,1,Main Campus,28418,0,0,3
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,1,6,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,1,2,2
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,1,3,4
2010,110644,University of California-Davis,1,Main Campus,31392,0,1,3
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,0,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,1,2,35
2010,445188,University of California-Merced,1,Main Campus,4381,0,0,0
2010,110671,University of California-Riverside,1,Main Campus,20692,0,0,0
2010,110680,University of California-San Diego,1,Main Campus,29176,0,1,0
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,5,4,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,2,1,0
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,0,1,8
2011,110635,University of California-Berkeley,1,Main Campus,36137,3,8,4
2011,110644,University of California-Davis,1,Main Campus,31732,0,1,0
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,0,1
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,7,0
2011,445188,University of California-Merced,1,Main Campus,5198,0,0,0
2011,110671,University of California-Riverside,1,Main Campus,20900,0,0,0
2011,110680,University of California-San Diego,1,Main Campus,28593,0,1,0
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,1,19,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,0,0,3
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,0,0,0
2012,110635,University of California-Berkeley,1,Main Campus,35893,4,4,1
2012,110644,University of California-Davis,1,Main Campus,32354,0,1,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,1,20
2012,445188,University of California-Merced,1,Main Campus,5760,0,0,0
2012,110671,University of California-Riverside,1,Main Campus,20947,0,0,0
2012,110680,University of California-San Diego,1,Main Campus,28294,0,0,0
2012,110699,University of California-San Francisco,1,Main Campus - Parnassus,3137,4,18,0
2012,110705,University of California-Santa Barbara,1,Main Campus,21927,0,0,0
2012,110714,University of California-Santa Cruz,1,Main Campus,17404,0,0,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,1,12,10
2013,110644,University of California-Davis,1,Main Campus,33307,0,1,0
2013,110653,University of California-Irvine,1,UCI Main Campus,28895,0,2,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,2,5,25
2013,445188,University of California-Merced,1,Main Campus,6195,0,0,0
2013,110671,University of California-Riverside,1,Main Campus,21207,0,1,1
2013,110680,University of California-San Diego,1,Main Campus,29517,0,1,0
2013,110699,University of California-San Francisco,1,Main Campus - Parnassus,3079,5,15,0
2013,110705,University of California-Santa Barbara,1,Main Campus,22225,0,0,7
2013,110714,University of California-Santa Cruz,1,Main Campus,17203,0,3,0
2014,110635,University of California-Berkeley,1,Main Campus,37565,2,9,1
2014,110644,University of California-Davis,1,Main Campus,34508,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,0,8,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,1,1,44
2014,445188,University of California-Merced,1,Main Campus,6268,0,0,0
2014,110671,University of California-Riverside,1,Main Campus,21498,0,3,0
2014,110680,University of California-San Diego,1,Main Campus,30709,0,5,1
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,0,6,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,0,2,15
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,0,0,0
2015,110635,University of California-Berkeley,1,Main Campus,38189,1,6,0
2015,110644,University of California-Davis,1,Main Campus,35186,0,2,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,0,1,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,8,2
2015,445188,University of California-Merced,1,Main Campus,6685,0,0,0
2015,110671,University of California-Riverside,1,Main Campus,21385,0,4,0
2015,110680,University of California-San Diego,1,Main Campus,32906,0,2,0
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,6,21,2
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,0,21,131
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,1,1,0
