Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18360,2,17,4
2010,110529,California State Polytechnic University-Pomona,1,Main Campus,20747,1,2,1
2010,110538,California State University-Chico,1,Main Campus,15989,0,12,12
2010,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13854,0,10,0
2010,110583,California State University-Long Beach,1,Main Campus,33416,5,55,1
2010,110617,California State University-Sacramento,1,Sacramento State,27033,4,9,5
2010,115755,Humboldt State University,1,Humboldt State University,7903,1,67,6
2010,122409,San Diego State University,1,Main Campus,29187,7,71,63
2010,122755,San Jose State University,1,Main Campus,29076,6,44,13
2010,123572,Sonoma State University,1,Sonoma State University,8395,2,27,27
2011,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18762,0,25,5
2011,110529,California State Polytechnic University-Pomona,1,Main Campus,21107,0,2,0
2011,110538,California State University-Chico,1,Main Campus,15920,2,7,11
2011,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14364,0,1,0
2011,110583,California State University-Long Beach,1,Main Campus,34870,1,10,17
2011,110617,California State University-Sacramento,1,Sacramento State,28016,5,15,13
2011,115755,Humboldt State University,1,Humboldt State University,8046,0,4,6
2011,122409,San Diego State University,1,Main Campus,30541,4,62,77
2011,122755,San Jose State University,1,Main Campus,30236,11,45,14
2011,123572,Sonoma State University,1,Sonoma State University,8668,1,0,26
2012,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18679,0,1,2
2012,110529,California State Polytechnic University-Pomona,1,Main Campus,22156,0,4,0
2012,110538,California State University-Chico,1,Main Campus,16470,2,23,4
2012,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13933,2,2,0
2012,110583,California State University-Long Beach,1,Main Campus,36279,5,2,3
2012,110617,California State University-Sacramento,1,Sacramento State,28539,3,13,1
2012,115755,Humboldt State University,1,Humboldt State University,8116,0,10,5
2012,122409,San Diego State University,1,Main Campus,30843,5,70,64
2012,122755,San Jose State University,1,Main Campus,30448,16,56,18
2012,123572,Sonoma State University,1,Sonoma State University,9021,0,0,8
2013,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19703,2,46,11
2013,110529,California State Polytechnic University-Pomona,1,Main Campus,22501,0,2,6
2013,110538,California State University-Chico,1,Main Campus,16356,5,20,1
2013,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14670,0,1,2
2013,110583,California State University-Long Beach,1,Main Campus,35586,2,7,1
2013,110617,California State University-Sacramento,1,Sacramento State,28811,4,7,1
2013,115755,Humboldt State University,1,Humboldt State University,8293,0,8,3
2013,122409,San Diego State University,1,Main Campus,31899,10,61,21
2013,122755,San Jose State University,1,Main Campus,31278,7,46,7
2013,123572,Sonoma State University,1,Sonoma State University,9120,1,3,16
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,3,53,26
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,3,13,2
2014,110538,California State University-Chico,1,Main Campus,17287,2,14,3
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,2,2,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,1,14,4
2014,110617,California State University-Sacramento,1,Sacramento State,29349,3,10,0
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,5,3
2014,122409,San Diego State University,1,Main Campus,33483,5,32,11
2014,122755,San Jose State University,1,Main Campus,32713,17,75,0
2014,123572,Sonoma State University,1,Sonoma State University,9290,3,3,12
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,2,16,30
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,9,4,1
2015,110538,California State University-Chico,1,Main Campus,17220,3,9,3
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,1,7,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,7,10,1
2015,110617,California State University-Sacramento,1,Sacramento State,30284,4,3,3
2015,115755,Humboldt State University,1,Humboldt State University,8790,2,2,0
2015,122409,San Diego State University,1,Main Campus,34254,9,53,37
2015,122755,San Jose State University,1,Main Campus,32773,27,149,0
2015,123572,Sonoma State University,1,Sonoma State University,9408,3,4,12
