Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,110529,California State Polytechnic University-Pomona,1,Main Campus,20747,0,0,0
2010,110538,California State University-Chico,1,Main Campus,15989,0,3,0
2010,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13854,2,11,2
2010,110583,California State University-Long Beach,1,Main Campus,33416,0,1,0
2010,110617,California State University-Sacramento,1,Sacramento State,27033,4,9,0
2010,115755,Humboldt State University,1,Humboldt State University,7903,0,1,0
2010,122409,San Diego State University,1,Main Campus,29187,0,2,4
2010,122755,San Jose State University,1,Main Campus,29076,2,3,22
2010,123572,Sonoma State University,1,Sonoma State University,8395,0,1,0
2011,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18762,0,1,10
2011,110529,California State Polytechnic University-Pomona,1,Main Campus,21107,0,0,0
2011,110538,California State University-Chico,1,Main Campus,15920,0,5,0
2011,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14364,1,4,16
2011,110583,California State University-Long Beach,1,Main Campus,34870,0,0,0
2011,110617,California State University-Sacramento,1,Sacramento State,28016,1,5,1
2011,115755,Humboldt State University,1,Humboldt State University,8046,0,0,0
2011,122409,San Diego State University,1,Main Campus,30541,4,1,8
2011,122755,San Jose State University,1,Main Campus,30236,1,1,18
2011,123572,Sonoma State University,1,Sonoma State University,8668,0,0,0
2012,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18679,0,0,1
2012,110529,California State Polytechnic University-Pomona,1,Main Campus,22156,0,0,1
2012,110538,California State University-Chico,1,Main Campus,16470,0,1,3
2012,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13933,0,0,0
2012,110583,California State University-Long Beach,1,Main Campus,36279,0,1,0
2012,110617,California State University-Sacramento,1,Sacramento State,28539,1,7,0
2012,115755,Humboldt State University,1,Humboldt State University,8116,0,0,0
2012,122409,San Diego State University,1,Main Campus,30843,1,0,0
2012,122755,San Jose State University,1,Main Campus,30448,0,3,24
2012,123572,Sonoma State University,1,Sonoma State University,9021,0,0,0
2013,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19703,0,0,3
2013,110538,California State University-Chico,1,Main Campus,16356,0,1,0
2013,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14670,0,1,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,0
2013,110617,California State University-Sacramento,1,Sacramento State,28811,2,9,3
2013,115755,Humboldt State University,1,Humboldt State University,8293,0,0,0
2013,122409,San Diego State University,1,Main Campus,31899,0,1,0
2013,122755,San Jose State University,1,Main Campus,31278,1,12,6
2013,123572,Sonoma State University,1,Sonoma State University,9120,0,0,0
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,0,3,0
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,0,0,0
2014,110538,California State University-Chico,1,Main Campus,17287,0,3,0
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,0,0,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,1,1
2014,110617,California State University-Sacramento,1,Sacramento State,29349,0,13,0
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,0,0
2014,122409,San Diego State University,1,Main Campus,33483,0,0,1
2014,122755,San Jose State University,1,Main Campus,32713,2,14,0
2014,123572,Sonoma State University,1,Sonoma State University,9290,0,0,0
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,0,0,2
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,0,0,0
2015,110538,California State University-Chico,1,Main Campus,17220,1,2,0
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,0,0,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0
2015,110617,California State University-Sacramento,1,Sacramento State,30284,1,5,0
2015,122409,San Diego State University,1,Main Campus,34254,0,1,2
2015,122755,San Jose State University,1,Main Campus,32773,5,18,0
2015,123572,Sonoma State University,1,Sonoma State University,9408,0,0,1
