Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,110617,California State University-Sacramento,1,Sacramento State,27972,0,0,1,,,0,,,0,2,30,44,0
2004,115755,Humboldt State University,1,Humboldt State University,7550,0,0,7,,,0,,,0,0,7,2,1
2004,122409,San Diego State University,1,Main Campus,32043,0,0,16,,,0,,,2,10,38,78,5
2004,122755,San Jose State University,1,Main Campus,29044,0,0,6,,,0,,,2,3,21,4,1
2004,123572,Sonoma State University,1,Sonoma State University,7977,0,0,2,,,0,,,0,0,28,8,0
2005,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18475,0,0,2,,,0,,,0,2,10,9,0
2005,110529,California State Polytechnic University-Pomona,1,Main Campus,19885,0,0,0,,,0,,,3,1,53,33,3
2005,110538,California State University-Chico,1,Main Campus,15919,0,0,1,,,0,,,5,0,47,12,0
2005,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12357,0,0,1,,,0,,,2,2,22,18,0
2005,110583,California State University-Long Beach,1,Main Campus,34547,0,0,2,,,0,,,1,4,22,88,0
2005,110617,California State University-Sacramento,1,Sacramento State,27932,0,0,4,,,0,,,3,3,30,13,0
2005,115755,Humboldt State University,1,Humboldt State University,7462,0,0,7,,,0,,,0,2,6,1,3
2005,122409,San Diego State University,1,Main Campus,31802,0,0,4,,,1,,,8,2,14,87,0
2005,122755,San Jose State University,1,Main Campus,29975,0,0,4,,,0,,,3,2,23,6,5
2005,123572,Sonoma State University,1,Sonoma State University,7749,0,0,2,,,0,,,0,0,26,8,1
2006,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18722,0,0,4,,,0,,,1,0,8,13,1
2006,110529,California State Polytechnic University-Pomona,1,Main Campus,20510,0,0,2,,,0,,,0,1,30,52,0
2006,110538,California State University-Chico,1,Main Campus,16250,0,0,5,,,0,,,1,3,15,2,3
2006,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12068,0,0,1,,,0,,,3,6,20,29,0
2006,110583,California State University-Long Beach,1,Main Campus,35574,0,0,4,,,0,,,1,3,15,58,0
2006,110617,California State University-Sacramento,1,Sacramento State,28529,0,0,3,,,0,,,1,2,23,23,1
2006,115755,Humboldt State University,1,Humboldt State University,7435,0,0,7,,,0,,,0,0,19,5,0
2006,122409,San Diego State University,1,Main Campus,33441,0,0,8,,,0,,,3,5,20,116,0
2006,122755,San Jose State University,1,Main Campus,29604,0,0,7,,,0,,,2,2,20,6,10
2006,123572,Sonoma State University,1,Sonoma State University,8274,0,0,1,,,0,,,0,0,15,4,3
2007,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19777,0,0,5,,,0,,,1,0,7,6,5
2007,110529,California State Polytechnic University-Pomona,1,Main Campus,21477,0,0,3,,,0,,,1,3,24,25,1
2007,110538,California State University-Chico,1,Main Campus,17034,0,0,2,,,0,,,2,2,16,4,1
2007,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12082,0,0,2,,,0,,,3,5,18,22,0
2007,110583,California State University-Long Beach,1,Main Campus,36868,0,0,4,,,0,,,2,2,15,28,0
2007,110617,California State University-Sacramento,1,Sacramento State,28829,0,0,4,,,1,,,0,1,42,18,1
2007,115755,Humboldt State University,1,Humboldt State University,7773,0,0,1,,,0,,,2,0,13,2,0
2007,122409,San Diego State University,1,Main Campus,35695,0,0,10,,,0,,,4,20,61,105,1
2007,122755,San Jose State University,1,Main Campus,31906,0,0,4,,,0,,,5,2,34,2,3
2007,123572,Sonoma State University,1,Sonoma State University,8770,0,0,4,,,0,,,2,2,17,0,0
2008,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19471,0,0,0,,,0,,,0,0,23,0,10
2008,110529,California State Polytechnic University-Pomona,1,Main Campus,21190,0,0,4,,,0,,,0,2,12,14,0
2008,110538,California State University-Chico,1,Main Campus,17132,0,0,3,,,0,,,2,1,17,6,3
2008,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12851,0,0,2,,,0,,,1,3,41,15,0
2008,110583,California State University-Long Beach,1,Main Campus,37891,0,0,1,,,0,,,0,1,27,27,1
2008,110617,California State University-Sacramento,1,Sacramento State,29011,0,0,0,,,0,,,1,2,18,8,2
2008,115755,Humboldt State University,1,Humboldt State University,7800,0,0,5,,,0,,,0,1,11,2,2
2008,122409,San Diego State University,1,Main Campus,34889,0,0,7,,,0,,,4,12,53,92,2
2008,122755,San Jose State University,1,Main Campus,32746,0,0,9,,,0,,,15,3,30,10,1
2008,123572,Sonoma State University,1,Sonoma State University,8921,0,0,5,,,1,,,0,3,14,0,3
2009,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19325,0,0,0,,,0,,,0,0,6,1,5
2009,110529,California State Polytechnic University-Pomona,1,Main Campus,22273,0,0,4,,,0,,,4,0,13,19,0
2009,110538,California State University-Chico,1,Main Campus,16934,0,0,1,,,0,,,3,1,8,5,1
2009,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14477,0,0,2,,,0,,,5,6,57,9,0
2009,110583,California State University-Long Beach,1,Main Campus,35557,0,0,3,,,0,,,1,0,14,28,0
2009,110617,California State University-Sacramento,1,Sacramento State,29241,1,0,2,,,0,,,0,3,27,16,0
2009,115755,Humboldt State University,1,Humboldt State University,7954,0,0,1,,,0,,,2,0,7,0,1
2009,122409,San Diego State University,1,Main Campus,32817,0,0,2,,,0,,,8,6,69,48,0
2009,122755,San Jose State University,1,Main Campus,31280,0,0,3,,,0,,,3,12,31,11,6
2009,123572,Sonoma State University,1,Sonoma State University,8546,0,0,2,,,0,,,0,0,6,4,0
2010,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18360,0,0,1,,,0,,,1,1,29,3,1
2010,110529,California State Polytechnic University-Pomona,1,Main Campus,20747,0,0,6,,,0,,,3,0,12,19,1
2010,110538,California State University-Chico,1,Main Campus,15989,0,0,6,,,1,,,4,1,6,0,3
2010,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13854,0,0,2,,,1,,,1,7,33,6,0
2010,110583,California State University-Long Beach,1,Main Campus,33416,0,0,2,,,0,,,1,2,14,10,1
2010,110617,California State University-Sacramento,1,Sacramento State,27033,0,0,8,,,0,,,2,4,13,4,0
2010,115755,Humboldt State University,1,Humboldt State University,7903,0,0,4,,,0,,,1,3,13,2,2
2010,122409,San Diego State University,1,Main Campus,29187,0,0,11,,,0,,,3,8,66,31,5
2010,122755,San Jose State University,1,Main Campus,29076,0,0,2,,,0,,,6,2,36,16,3
2010,123572,Sonoma State University,1,Sonoma State University,8395,0,0,2,,,0,,,1,3,5,0,0
2011,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18762,0,0,1,,,0,,,0,0,7,9,1
2011,110529,California State Polytechnic University-Pomona,1,Main Campus,21107,0,0,7,,,0,,,2,0,23,15,0
2011,110538,California State University-Chico,1,Main Campus,15920,0,0,2,,,0,,,1,1,4,1,1
2011,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14364,0,0,2,,,0,,,7,8,73,7,0
2011,110583,California State University-Long Beach,1,Main Campus,34870,0,0,3,,,0,,,3,1,24,5,0
2011,110617,California State University-Sacramento,1,Sacramento State,28016,0,0,2,,,0,,,3,0,12,4,5
2011,115755,Humboldt State University,1,Humboldt State University,8046,0,0,1,,,0,,,1,0,2,6,0
2011,122409,San Diego State University,1,Main Campus,30541,0,0,6,,,0,,,2,4,42,39,0
2011,122755,San Jose State University,1,Main Campus,30236,2,0,3,,,0,,,2,13,24,13,4
2011,123572,Sonoma State University,1,Sonoma State University,8668,0,0,1,,,0,,,0,0,5,0,0
2012,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18679,0,0,0,,,0,,,1,1,3,4,2
2012,110529,California State Polytechnic University-Pomona,1,Main Campus,22156,0,0,1,,,0,,,5,2,21,17,0
2012,110538,California State University-Chico,1,Main Campus,16470,0,0,4,,,0,,,2,3,7,0,0
2012,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13933,0,0,1,,,1,,,0,6,21,3,0
2012,110583,California State University-Long Beach,1,Main Campus,36279,0,0,1,,,1,,,0,1,23,8,1
2012,110617,California State University-Sacramento,1,Sacramento State,28539,0,0,3,,,0,,,0,1,34,5,0
2012,115755,Humboldt State University,1,Humboldt State University,8116,0,0,5,,,0,,,0,1,9,3,0
2012,122409,San Diego State University,1,Main Campus,30843,0,0,12,,,0,,,11,6,45,8,0
2012,122755,San Jose State University,1,Main Campus,30448,0,0,3,,,0,,,9,6,29,9,1
2012,123572,Sonoma State University,1,Sonoma State University,9021,0,0,2,,,0,,,0,2,8,5,0
2013,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19703,0,0,6,,,0,,,1,1,2,15,0
2013,110529,California State Polytechnic University-Pomona,1,Main Campus,22501,0,0,3,,,0,,,1,0,10,21,0
2013,110538,California State University-Chico,1,Main Campus,16356,0,0,6,,,1,,,1,0,5,2,1
2013,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14670,0,0,1,,,0,,,1,4,9,1,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,3,,,0,,,0,2,28,23,0
2013,110617,California State University-Sacramento,1,Sacramento State,28811,0,0,1,,,0,,,1,2,9,2,0
2013,115755,Humboldt State University,1,Humboldt State University,8293,0,0,4,,,0,,,0,0,4,0,2
2013,122409,San Diego State University,1,Main Campus,31899,0,0,6,,,0,,,3,3,47,20,1
2013,122755,San Jose State University,1,Main Campus,31278,0,0,0,,,0,,,5,4,14,6,1
2013,123572,Sonoma State University,1,Sonoma State University,9120,0,0,1,,,0,,,0,0,17,0,1
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,0,0,,11,3,,0,0,0,1,11,8,2
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,0,0,,4,2,,0,0,1,1,9,15,0
2014,110538,California State University-Chico,1,Main Campus,17287,0,0,,3,1,,0,0,0,1,7,0,0
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,0,0,,0,0,,0,0,0,3,16,4,0
