Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,0,0,6,,,0,,,2,3,47,4,1
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,0,0,4,,,0,,,2,2,53,3,2
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,4,,,0,,,24,11,74,12,11
2007,110644,University of California-Davis,1,Main Campus,29796,0,0,25,,,0,,,8,4,72,5,2
2007,110398,University of California-Hastings College of Law,1,Main Campus,1262,0,0,1,,,0,,,6,4,16,1,0
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,0,0,4,,,0,,,1,0,41,16,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,13,,,0,,,5,7,163,21,1
2007,445188,University of California-Merced,1,Main Campus,1871,0,0,0,,,0,,,0,0,1,0,0
2007,110671,University of California-Riverside,1,Main Campus,17187,0,0,7,,,0,,,7,2,46,19,9
2007,110680,University of California-San Diego,1,Main Campus,27020,0,0,2,,,0,,,2,5,55,33,4
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,2,,,0,,,0,0,14,7,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,0,0,8,,,0,,,0,7,37,3,2
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,0,4,,,0,,,1,4,34,5,7
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,11,,,0,,,20,22,54,8,3
2008,110644,University of California-Davis,1,Main Campus,30568,0,0,15,,,0,,,4,5,96,13,1
2008,110398,University of California-Hastings College of Law,1,Main Campus,1306,0,0,0,,,0,,,2,7,21,4,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,0,6,,,1,,,3,0,46,35,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,31,,,0,,,3,2,123,23,1
2008,445188,University of California-Merced,1,Main Campus,2718,0,0,1,,,0,,,0,0,5,0,0
2008,110671,University of California-Riverside,1,Main Campus,18079,0,0,4,,,0,,,4,6,51,13,3
2008,110680,University of California-San Diego,1,Main Campus,27520,0,0,5,,,0,,,1,1,53,24,4
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,1,,,0,,,1,1,7,7,1
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,0,0,4,,,0,,,3,3,29,2,2
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,4,,,0,,,0,2,66,2,2
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,5,,,0,,,13,14,48,14,12
2009,110644,University of California-Davis,1,Main Campus,31247,0,0,13,,,1,,,1,3,53,8,8
2009,110398,University of California-Hastings College of Law,1,Main Campus,1347,0,0,0,,,0,,,4,0,4,1,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,1,0,3,,,0,,,0,0,24,5,3
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,11,,,0,,,5,9,111,14,0
2009,445188,University of California-Merced,1,Main Campus,3414,0,0,2,,,0,,,0,0,3,1,1
2009,110671,University of California-Riverside,1,Main Campus,19384,0,0,5,,,0,,,5,3,28,7,0
2009,110680,University of California-San Diego,1,Main Campus,28418,0,0,4,,,1,,,2,1,47,38,3
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,2,,,0,,,1,1,17,0,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,0,0,2,,,0,,,1,10,39,3,2
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,0,4,,,0,,,0,1,45,3,1
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,6,,,0,,,14,8,63,13,9
2010,110644,University of California-Davis,1,Main Campus,31392,0,0,14,,,0,,,1,4,71,9,2
2010,110398,University of California-Hastings College of Law,1,Main Campus,1304,0,0,1,,,0,,,5,5,1,0,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,0,3,,,0,,,0,4,27,6,5
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,21,,,1,,,2,2,125,14,2
2010,445188,University of California-Merced,1,Main Campus,4381,0,0,1,,,0,,,0,0,0,0,0
2010,110671,University of California-Riverside,1,Main Campus,20692,0,0,5,,,0,,,7,5,18,12,4
2010,110680,University of California-San Diego,1,Main Campus,29176,1,0,9,,,0,,,0,2,38,22,2
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,0,0,2,,,0,,,1,0,11,2,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,0,0,6,,,0,,,0,1,51,2,1
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,0,0,5,,,0,,,2,3,34,4,1
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,30,,,1,,,9,7,40,14,6
2011,110644,University of California-Davis,1,Main Campus,31732,0,0,22,,,0,,,4,1,79,8,1
2011,110398,University of California-Hastings College of Law,1,Main Campus,1289,0,0,0,,,0,,,9,1,1,0,0
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,0,6,,,1,,,2,1,44,5,1
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,8,,,0,,,2,4,118,7,0
2011,445188,University of California-Merced,1,Main Campus,5198,0,0,1,,,0,,,0,1,1,0,0
2011,110671,University of California-Riverside,1,Main Campus,20900,0,0,5,,,0,,,4,1,32,23,1
2011,110680,University of California-San Diego,1,Main Campus,28593,0,0,6,,,0,,,0,6,29,18,4
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,0,0,3,,,0,,,1,2,5,3,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,0,0,7,,,1,,,1,3,40,4,3
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,0,0,4,,,0,,,0,5,23,2,4
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,13,,,1,,,18,4,69,9,3
2012,110644,University of California-Davis,1,Main Campus,32354,0,0,15,,,0,,,1,5,45,5,5
2012,110398,University of California-Hastings College of Law,1,Main Campus,1159,0,0,0,,,0,,,2,0,5,0,0
2012,110653,University of California-Irvine,1,UCI Main Campus,27479,0,0,12,,,0,,,2,3,44,12,3
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,15,,,0,,,5,1,76,6,1
