Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,9,,,0,,,5,15,33,3,0
2007,445188,University of California-Merced,1,Main Campus,1871,0,0,0,,,0,,,0,0,1,0,0
2007,110671,University of California-Riverside,1,Main Campus,17187,0,0,1,,,0,,,1,1,9,2,0
2007,110680,University of California-San Diego,1,Main Campus,27020,0,0,0,,,0,,,0,0,8,13,0
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,8,,,0,,,3,2,16,3,1
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,0,0,0,,,0,,,0,1,0,0,0
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,0,0,,,0,,,0,0,6,0,0
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,5,,,0,,,1,1,41,15,1
2008,110644,University of California-Davis,1,Main Campus,30568,0,0,7,,,0,,,0,0,12,1,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,0,1,,,1,,,1,1,6,2,1
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,5,,,1,,,3,16,39,7,1
2008,445188,University of California-Merced,1,Main Campus,2718,0,0,0,,,0,,,0,0,0,0,0
2008,110671,University of California-Riverside,1,Main Campus,18079,0,0,0,,,0,,,1,1,3,2,0
2008,110680,University of California-San Diego,1,Main Campus,27520,0,0,0,,,0,,,0,1,20,8,0
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,0,,,0,,,1,0,10,5,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,0,0,0,,,0,,,2,2,13,2,1
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,0,,,0,,,0,0,1,0,0
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,21,,,0,,,3,3,42,5,0
2009,110644,University of California-Davis,1,Main Campus,31247,0,0,4,,,0,,,0,1,19,0,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,0,0,0,,,0,,,0,0,0,0,0
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,6,,,0,,,3,13,54,6,1
2009,445188,University of California-Merced,1,Main Campus,3414,0,0,0,,,0,,,0,0,0,0,0
2009,110671,University of California-Riverside,1,Main Campus,19384,0,0,1,,,0,,,0,0,12,9,0
2009,110680,University of California-San Diego,1,Main Campus,28418,0,0,0,,,0,,,0,1,0,0,0
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,3,,,0,,,0,5,19,0,2
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,0,0,0,,,0,,,0,0,7,1,0
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,0,0,,,0,,,0,0,0,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,10,,,0,,,0,3,46,7,0
2010,110644,University of California-Davis,1,Main Campus,31392,0,0,2,,,0,,,0,5,13,1,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,0,0,,,0,,,0,0,4,2,0
